forbes_name,clean_name,education
John Gandel,John Gandel,Melbourne High School
Mitchell Rales,Mitchell Rales,Miami University (1978)
John Paulson,John Paulson,New York University (BA) Harvard University (MBA)
Li Chunan,Li Chunan,
Nick Caporella,Nick Caporella,
Takahisa Takahara,Takahisa Takahara,
Meg Whitman,Meg Whitman,Princeton University ( AB ) Harvard University ( MBA )
Ugur Sahin,Ugur Sahin,"University of Cologne , PhD in Human Medicine"
John Bicket,John Bicket,
Jim Davis,Jim Davis,
Hubert Burda,Hubert Burda,Ludwig Maximilian University of Munich
Lin Shu-hong,Lin Shu-hong,
Kentaro Ogawa,Kentaro Ogawa,
Sunny Varkey,Sunny Varkey,
Martin Lau,Martin Lau,
Yuan Fugen & family,Yuan Fugen,
Peter Grogg,Peter Grogg,
Falguni Nayar,Falguni Nayar,"Sydenham College of Commerce and Economics, Mumbai Indian Institute of Management Ahmedabad"
Ivar Tollefsen,Ivar Tollefsen,
Fang Wei,Fang Wei,
Christian Haub,Christian Haub,Vienna University of Economics and Business Administration
Harsh Mariwala,Harsh Mariwala,"Sydenham College of Commerce and Economics, Mumbai"
Marc Lore,Marc Lore,Bucknell University ( BA ) Columbia University (dropped out) University of Pennsylvania (dropped out)
Jeffrey Cheah,Jeffrey Cheah,Footscray Institute of Technology
Antti Herlin,Antti Herlin,National Technical University of Athens Iowa State University
Ravi Pillai,Ravi Pillai,University of Cochin
Julia Thiele-Schuerhoff & family,Julia Thiele-Schuerhoff,
Du Jiangtao & family,Du Jiangtao,
Huang Jiangji,Huang Jiangji,
Amos Hostetter Jr,Amos Hostetter Jr,
Ye Chenghai & family,Ye Chenghai,
Maurizio Billi,Maurizio Billi,
Anand Mahindra,Anand Mahindra,"The Lawrence School, Lovedale Harvard University ( BA , MBA ) [ 1 ] [ 2 ]"
Mochtar Riady & family,Mochtar Riady,
Rajan Raheja & family,Rajan Raheja,
Samuel Tak Lee,Samuel Tak Lee,Massachusetts Institute of Technology Harvard Business School
J.B. Pritzker,J.B. Pritzker,Duke University ( BA ) Northwestern University ( JD )
Alan Howard,Alan Howard,
Theodore Leonsis,Theodore Leonsis,Georgetown University ( BA )
Lorinc Meszaros,Lorinc Meszaros,
Norman Braman,Norman Braman,Temple University
Steve Wynn,Steve Wynn,University of Pennsylvania ( BA )
William Stone,William Stone,
Shi Yuzhu,Shi Yuzhu,Zhejiang University Shenzhen University
Anil Agarwal & family,Anil Agarwal,
Chan Laiwa & family,Chan Laiwa,
Harsh Goenka,Harsh Goenka,University of Calcutta International Institute for Management Development
Walter Frey,Walter Frey,London School of Economics
G. M. Rao,G. M. Rao,
Michael Jordan,Michael Jordan,
Baba Kalyani,Baba Kalyani,"Rashtriya Military School, Belgaum Birla Institute of Technology and Science, Pilani Massachusetts Institute of Technology"
Daniel Loeb,Daniel Loeb,"University of California, Berkeley Columbia University ( BA )"
Eduardo Eurnekian,Eduardo Eurnekian,
Nithin Kamath,Nithin Kamath,
Ray Davis,Ray Davis,
Ira Rennert,Ira Rennert,Brooklyn College New York University
Brian Venturo,Brian Venturo,
Sid Bass,Sid Bass,Yale University Stanford University
Scott Kapnick,Scott Kapnick,
Eduardo Vivas,Eduardo Vivas,
Lawrence Stroll,Lawrence Stroll,
Giuseppe Crippa & family,Giuseppe Crippa,
B. Partha Saradhi Reddy,B. Partha Saradhi Reddy,
Scott Shleifer,Scott Shleifer,University of Pennsylvania
Cameron Adams,Cameron Adams,
Leena Tewari,Leena Tewari,
Martin Ebner,Martin Ebner,University of Zurich University of Florida
Maja Oeri,Maja Oeri,
Edward DeBartolo Jr,Edward DeBartolo Jr,
Wang Yanqing & family,Wang Yanqing,
Xiang Guangda,Xiang Guangda,
Arun Bharat Ram,Arun Bharat Ram,
Koos Bekker,Koos Bekker,University of the Witwatersrand Columbia University
Renzo Rosso & family,Renzo Rosso,
Sanjiv Goenka,Sanjiv Goenka,"St. Xavier's College, Calcutta"
Lorenzo Fertitta,Lorenzo Fertitta,University of San Diego ( BBA ) New York University ( MBA )
Tung Chee Chen,Tung Chee Chen,University of Liverpool Massachusetts Institute of Technology
Walter P.J. Droege,Walter P.J. Droege,
Sunil Vachani,Sunil Vachani,
Liu Jincheng & family,Liu Jincheng,
Kagemasa Kozuki,Kagemasa Kozuki,
Abel Avellan,Abel Avellan,
Frank Fertitta III,Frank Fertitta III,University of Southern California ( BASc )
Danny Harris,Danny Harris,
Thomas James,Thomas James,"New College, Oxford"
Zahan Mistry,Zahan Mistry,Imperial College London London Business School
Neil Shen,Neil Shen,Shanghai Jiaotong University Yale  School of Management
Thomas Tull,Thomas Tull,Hamilton College
Nguyen Thi Phuong Thao,Nguyen Thi Phuong Thao,Plekhanov Russian University of Economics (BA) D. Mendeleev University of Chemical Technology of Russia (PhD)
Jack Cockwell,Jack Cockwell,"Selborne College ('58) University of Cape Town (BCom '64, MCom '66)"
Hans Peter Wild,Hans Peter Wild,University of Mannheim
Firoz Mistry,Firoz Mistry,Imperial College London London Business School
Maggie Gu,Maggie Gu,
Ren Xiaoqing,Ren Xiaoqing,
Molly Miao,Molly Miao,
Zhang Xinghai & family,Zhang Xinghai,
Ben Lamm,Ben Lamm,Baylor University
Bulat Utemuratov,Bulat Utemuratov,
Jean Coutu & family,Jean Coutu,
Marco DeGeorge,Marco DeGeorge,
George Prokopiou & family,George Prokopiou,National Technical University of Athens
Shiv Kishan Agrawal,Shiv Kishan Agrawal,
J. Hyatt Brown,J. Hyatt Brown,University of Florida
Giuliana Benetton,Giuliana Benetton,
Luciano Benetton,Luciano Benetton,
Jeff Tangney,Jeff Tangney,
Todd Wanek,Todd Wanek,
Kwek Leng Kee,Kwek Leng Kee,
Rodney Sacks & family,Rodney Sacks,University of the Witwatersrand
Lyu Yixiong,Lyu Yixiong,
T.S. Kalyanaraman,T.S. Kalyanaraman,Sree Kerala Varma College
Jim Breyer,Jim Breyer,Stanford University ( BS ) Harvard University ( MBA )
Ron Burkle,Ron Burkle,"California State Polytechnic University, Pomona"
He Xiaopeng,He Xiaopeng,South China University of Technology
David Blitzer,David Blitzer,University of Pennsylvania ( BS )
Sukanto Tanoto,Sukanto Tanoto,
Somurai Jaruphnit,Somurai Jaruphnit,
Marc Fielmann,Marc Fielmann,London School of Economics and Political Science (BSc)
Wu Xiangdong,Wu Xiangdong,
John Krystynak,John Krystynak,
Leon G. Cooperman,Leon G. Cooperman,Hunter College ( BA ) Columbia University ( MBA )
Palmer Luckey,Palmer Luckey,"California State University, Long Beach (withdrew)"
Yao Liangsong,Yao Liangsong,
Mohed Altrad,Mohed Altrad,Paris Dauphine University
Hans Jakob Limbach,Hans Jakob Limbach,
Dan Olsson,Dan Olsson,"Gothenburg School of Business, Economics and Law"
Theodore Rachmat,Theodore Rachmat,
John Fisher,John Fisher,
Madhukar Parekh,Madhukar Parekh,UDCT (B.Sc.) University of Wisconsin (M.S.)
August Troendle,August Troendle,
Miao Hangen,Miao Hangen,
Giorgio Perfetti,Giorgio Perfetti,
Peter Hargreaves,Peter Hargreaves,Clitheroe Royal Grammar School
Xie Liangzhi & family,Xie Liangzhi,
William Wrigley Jr,William Wrigley Jr,
Hilton Schlosberg & family,Hilton Schlosberg,University of the Witwatersrand
Travis Kalanick,Travis Kalanick,"University of California, Los Angeles (dropped out)"
Danielle Bellon & family,Danielle Bellon,
Isabella Seràgnoli,Isabella Seràgnoli,
Haryanto Tjiptodihardjo,Haryanto Tjiptodihardjo,
Dylan Field,Dylan Field,Brown University (dropped out)
Otto Philipp Braun,Otto Philipp Braun,
Ralph Dommermuth,Ralph Dommermuth,
Cheng Yixiao,Cheng Yixiao,
Zhou Jianping,Zhou Jianping,Dalian University of Technology National University of Defense Technology
Prathap Reddy,Prathap Reddy,Stanley Medical College
Richard Peery,Richard Peery,Brigham Young University
Prasert Prasarttong-Osoth,Prasert Prasarttong-Osoth,"Faculty of Medicine Siriraj Hospital, Mahidol University"
P.N.C. Menon,P.N.C. Menon,
Susan Alfond,Susan Alfond,
Ted Alfond,Ted Alfond,Rollins College
Bill Alfond,Bill Alfond,Colby College The Governor's Academy
Katharina Otto-Bernstein,Katharina Otto-Bernstein,"Columbia University (BA, MFA)"
Robert Johnson & family,Robert Johnson,
John Caudwell,John Caudwell,Berry Hill High School
Alberto Siccardi & family,Alberto Siccardi,
J. Tomilson Hill,J. Tomilson Hill,Harvard College Harvard Business School
Michael Latifi,Michael Latifi,"McGill University ( BS , MBA ) [ 1 ]"
Jose Joao Abdalla Filho,Jose Joao Abdalla Filho,
Martua Sitorus,Martua Sitorus,
Juan Abello,Juan Abello,Complutense University of Madrid Colegio del Pilar
Jian Yao,Jian Yao,
Catheline Perier D'Ieteren,Catheline Perier D'Ieteren,
Wang Junlin & family,Wang Junlin,
Patrick Lee,Patrick Lee,
E. Joe Shoen,E. Joe Shoen,
Jose Roberto Marinho,Jose Roberto Marinho,
Joao Roberto Marinho,Joao Roberto Marinho,
Jiang Weiping & family,Jiang Weiping,
Ramon Ang,Ramon Ang,Far Eastern University ( BS )
Warren Stephens,Warren Stephens,Washington and Lee University ( BA ) Wake Forest University ( MBA )
Frank Slootman,Frank Slootman,Erasmus University Rotterdam
Alceu Elias Feldmann & family,Alceu Elias Feldmann,
Clive Palmer,Clive Palmer,University of Queensland
Jack Gance,Jack Gance,
Zhang Tao,Zhang Tao,
Fernando Chico Pardo,Fernando Chico Pardo,
Reinold Geiger,Reinold Geiger,Swiss Federal Institute of Technology INSEAD
Park Soon-jae,Park Soon-jae,
Brian Acton,Brian Acton,Stanford University ( BCS )
Fred Ehrsam,Fred Ehrsam,Duke University ( BS )
Senapathy Gopalakrishnan,Senapathy Gopalakrishnan,"Government Arts College, Thiruvananthapuram University College Thiruvananthapuram Indian Institute of Technology Madras"
Surender Saluja,Surender Saluja,
Ankur Jain,Ankur Jain,Wharton School of the University of Pennsylvania
Ye Qiongjiu,Ye Qiongjiu,
Barry Zekelman,Barry Zekelman,
Lee Yeow Chor,Lee Yeow Chor,
Selina Stihl,Selina Stihl,
Howard Lutnick,Howard Lutnick,Haverford College ( BA )
Waleed Mohammad Al Zaabi,Waleed Mohammad Al Zaabi,
Lucio Tan,Lucio Tan,Chiang Kai Shek College Far Eastern University
N. Murray Edwards,N. Murray Edwards,University of Saskatchewan ( BCom ) University of Toronto ( LLB )
Patrice Motsepe,Patrice Motsepe,University of Swaziland University of the Witwatersrand
Alfred Gantner,Alfred Gantner,
Marcel Erni,Marcel Erni,
Urs Wietlisbach,Urs Wietlisbach,
Jonathan Nelson,Jonathan Nelson,
Pablo Legorreta,Pablo Legorreta,
Remo Ruffini,Remo Ruffini,
Jian Jun,Jian Jun,
Alexandre Van Damme,Alexandre Van Damme,
Andrew Bialecki,Andrew Bialecki,
Harish Ahuja,Harish Ahuja,
Kuok Khoon Hong,Kuok Khoon Hong,"Bachelor of Business Administration, National University of Singapore ( https://www.wilmar-international.com/about-us/leadership )"
James Packer,James Packer,Cranbrook School
Vincent McMahon,Vincent McMahon,
Ronald McAulay,Ronald McAulay,University of Glasgow
Sol Daurella,Sol Daurella,
Otto Happel,Otto Happel,RWTH Aachen University
Maren Otto,Maren Otto,
Andrei Kozitsyn,Andrei Kozitsyn,Ural Polytechnic Institute
Howard Schultz,Howard Schultz,Northern Michigan University ( BA )
Udo Schütz,Udo Schütz,
Lin Jianhua,Lin Jianhua,Peking University
Mohamed Mansour,Mohamed Mansour,
Li Zhenguo & family,Li Zhenguo,"Lanzhou University , Xi'an Jiaotong University"
Segolene Gallienne,Segolene Gallienne,
Wang Junmin,Wang Junmin,Shandong University East China Normal University Central Party School of the Chinese Communist Party
Victor Pinchuk,Victor Pinchuk,Dnipropetrovsk Metallurgical Institute (doctorate)
Kiran Mazumdar-Shaw,Kiran Mazumdar-Shaw,Bangalore University ( B.Sc. ) Melbourne University ( M.S. )
Gustav Magnar Witzoe,Gustav Magnar Witzoe,
Chan Tan Ching-fen,Chan Tan Ching-fen,
Ramesh Juneja,Ramesh Juneja,
Jack Cowin,Jack Cowin,University of Western Ontario
Jeff T. Green,Jeff T. Green,
Mahima Datla,Mahima Datla,
Hu Rongda & family,Hu Rongda,
Joe Lonsdale,Joe Lonsdale,Stanford University ( BS )
Zhao Yan,Zhao Yan,
Wang Changtian,Wang Changtian,
David Wertheim,David Wertheim,
Alejandro Santo Domingo,Alejandro Santo Domingo,Harvard University
Ye Guofu,Ye Guofu,"Diploma in Economic Management, Zhongnan University of Economics and Law , 2000"
Tim Draper,Tim Draper,Stanford University ( BS ) Harvard University ( MBA )
Glen Taylor,Glen Taylor,"Minnesota State University, Mankato ( BS ) Harvard University ( MBA )"
Sanjeev Bikhchandani,Sanjeev Bikhchandani,"BA from St. Stephen's College, Delhi Delhi University MBA from IIM Ahmedabad"
Gilles Martin,Gilles Martin,
Jay Paul,Jay Paul,Boston University
Sophie Luise Fielmann,Sophie Luise Fielmann,
Yeung Kin-man,Yeung Kin-man,
Shigenobu Nagamori,Shigenobu Nagamori,Polytechnic University
Haim Saban,Haim Saban,
Rajeev Juneja,Rajeev Juneja,
Lawrence Golub,Lawrence Golub,Harvard Law School Harvard Business School Harvard College
Wei Huang,Wei Huang,
Sergei Galitsky,Sergei Galitsky,
Angelo Koo,Angelo Koo,
Olivier Pomel,Olivier Pomel,
Anne Beaufour,Anne Beaufour,University of Paris-Sud
Henri Beaufour,Henri Beaufour,Georgetown University
George Argyros & family,George Argyros,Chapman University
Caroline Hagen Kjos,Caroline Hagen Kjos,Parsons School of Design
Najib Mikati,Najib Mikati,American University of Beirut INSEAD
Taha Mikati,Taha Mikati,"American University of Beirut , Lebanon"
Maritsa Lazari & family,Maritsa Lazari,
Gerry Harvey,Gerry Harvey,
Alexis Lê-Quôc,Alexis Lê-Quôc,
Fabien Pinckaers,Fabien Pinckaers,
Spiro Latsis & family,Spiro Latsis,London School of Economics (LSE)
Friede Springer,Friede Springer,
Albert Chao & family,Albert Chao,
Dorothy Chao Jenkins & family,Dorothy Chao Jenkins,
James Chao & family,James Chao,
Alexandr Wang,Alexandr Wang,Massachusetts Institute of Technology (dropped out)
Jeff Rothschild,Jeff Rothschild,"Vanderbilt University (BS, MS)"
Ajay Piramal,Ajay Piramal,University of Mumbai
Joy Alukkas,Joy Alukkas,
Erwin Franz Mueller,Erwin Franz Mueller,
Radha Vembu,Radha Vembu,Indian Institute of Technology Madras
Leng Youbin,Leng Youbin,
John Dorrance III,John Dorrance III,
Wu Guangming,Wu Guangming,
Yuji Otsuka,Yuji Otsuka,
Chen Fashu,Chen Fashu,China Europe International Business School
Ben Navarro,Ben Navarro,University of Rhode Island (1984)
Andrei Bokarev,Andrei Bokarev,
William Chisholm,William Chisholm,
Mikhail Shelkov,Mikhail Shelkov,
Maria-Elisabeth Schaeffler-Thumann,Maria-Elisabeth Schaeffler-Thumann,
Sam Gance,Sam Gance,
Roberto Irineu Marinho,Roberto Irineu Marinho,
Jacques D'Amours,Jacques D'Amours,
Mário Araripe,Mário Araripe,
Kavitark Ram Shriram,Kavitark Ram Shriram,University of Madras
Lam Wai-ying,Lam Wai-ying,
Oprah Winfrey,Oprah Winfrey,Tennessee State University ( BA )
Hong Jie,Hong Jie,
Ke Zunhong & family,Ke Zunhong,
Arvind Poddar,Arvind Poddar,
Xue Hua,Xue Hua,
Stefan Wirtgen,Stefan Wirtgen,
Jurgen Wirtgen,Jurgen Wirtgen,
Frank VanderSloot,Frank VanderSloot,Ricks College and Brigham Young University
Theo Roussis,Theo Roussis,
Manohar Lal Agarwal,Manohar Lal Agarwal,
Denis O'Brien,Denis O'Brien,University College Dublin Boston College
Frank Blase,Frank Blase,
Augusto Perfetti,Augusto Perfetti,
Kuldip Singh Dhingra,Kuldip Singh Dhingra,"Hindu College, Delhi Delhi University"
Gurbachan Singh Dhingra,Gurbachan Singh Dhingra,
Vladimir Litvinenko & family,Vladimir Litvinenko,Leningrad Mining Institute
Stephen Lansdown,Stephen Lansdown,Thornbury Grammar School
Zhang Jian,Zhang Jian,
Liu Weiping,Liu Weiping,Nanjing University of Aeronautics and Astronautics Central Party School
Yu Zhuyun,Yu Zhuyun,
Yang Huiyan & family,Yang Huiyan,Ohio State University
Harindarpal Banga,Harindarpal Banga,T.S. Dufferin
Yadu Hari Dalmia & family,Yadu Hari Dalmia,
Charles Edelstenne & family,Charles Edelstenne,
Jerry Yang,Jerry Yang,"Stanford University ( BS , MS )"
Qiu Wensheng,Qiu Wensheng,
Benjamin Otto,Benjamin Otto,
Arvind Tiku,Arvind Tiku,
Antonio Del Valle Ruiz & family,Antonio Del Valle Ruiz,
Sean Parker,Sean Parker,Oakton High School Chantilly High School
Robert Friedland,Robert Friedland,Reed College (BA)
Issad Rebrab & family,Issad Rebrab,
Fabrizio Di Amato,Fabrizio Di Amato,
Salil Singhal,Salil Singhal,
John Coates,John Coates,
Scott Nuttall,Scott Nuttall,
Aneel Bhusri,Aneel Bhusri,Brown University (B.Sc.) Stanford University (M.B.A.)
Weili Dai,Weili Dai,"University of California, Berkeley"
Djoko Susanto,Djoko Susanto,
Martin Bouygues,Martin Bouygues,
Sergei Popov,Sergei Popov,
Cheng Xue,Cheng Xue,
Richard Chandler,Richard Chandler,
Michael S. Smith,Michael S. Smith,
Jeffrey Talpins,Jeffrey Talpins,
Choo Chong Ngen,Choo Chong Ngen,
Guo Guangchang,Guo Guangchang,Fudan University
Jim Thompson & family,Jim Thompson,
Nandan Nilekani,Nandan Nilekani,"Indian Institute of Technology, Bombay"
Abhay Soi,Abhay Soi,
Kommer Damen,Kommer Damen,
Aristotelis Mistakidis,Aristotelis Mistakidis,
Zhang Lei,Zhang Lei,
Bent Jensen & Family,Bent Jensen,
Stephen Butt & family,Stephen Butt,
Howard Butt III & family,Howard Butt III,
Eva Maria Bucher-Haefner,Eva Maria Bucher-Haefner,
Li Hongxin & family,Li Hongxin,
Lin Ming-hsiung,Lin Ming-hsiung,
Olivier Bouygues,Olivier Bouygues,IFP School
Dmitry Pumpyansky,Dmitry Pumpyansky,
Vadim Moshkovich,Vadim Moshkovich,MIREA - Russian Technological University
Safra Catz,Safra Catz,"University of Pennsylvania ( BA , JD )"
Yusuf Hamied,Yusuf Hamied,"Christ's College, Cambridge"
Clifford Asness,Clifford Asness,
Gerald Frere,Gerald Frere,
Wang Wenjing,Wang Wenjing,Jiangxi University of Finance and Economics
Ji Qi,Ji Qi,
Tony Xu,Tony Xu,"University of California, Berkeley ( BS ) Stanford University ( MBA )"
Wolfgang Leitner,Wolfgang Leitner,University of Graz
Nicolas Berggruen,Nicolas Berggruen,New York University
Luca Garavoglia,Luca Garavoglia,Bocconi University
Qiu Guanghe & family,Qiu Guanghe,
John Arnold,John Arnold,
Bennett Dorrance,Bennett Dorrance,
Sebastian Glaser,Sebastian Glaser,
Erman Ilicak,Erman Ilicak,
Gudrun Heine,Gudrun Heine,
Sybill Storz,Sybill Storz,
Xie Weitong,Xie Weitong,
Joel Greenberg,Joel Greenberg,
Acharya Balkrishna,Acharya Balkrishna,
Georgi Domuschiev,Georgi Domuschiev,
Kiril Domuschiev,Kiril Domuschiev,"Technical University, Sofia"
Robert Clark,Robert Clark,
Ugo Gussalli Beretta & family,Ugo Gussalli Beretta,
Matthew Roszak,Matthew Roszak,Lake Forest College
Yuri Kovalchuk & family,Yuri Kovalchuk,
Herb Chambers,Herb Chambers,
Yoshiko Mori,Yoshiko Mori,
Bill Austin,Bill Austin,
Peter Unger,Peter Unger,Swarthmore College Oxford University
Karthik Sarma,Karthik Sarma,Indian Institute of Technology Madras Princeton University
Igor Altushkin,Igor Altushkin,
John Paul DeJoria,John Paul DeJoria,
Zhou Bajin,Zhou Bajin,
G. Rajendran,G. Rajendran,
Alberto Palatchi,Alberto Palatchi,
Tung Chee Hwa,Tung Chee Hwa,University of Liverpool ( BS )
Arnout Schuijff,Arnout Schuijff,
Daniel Pritzker,Daniel Pritzker,Tufts University ( BA ) Northwestern University ( JD )
Yoo Jung-hyun,Yoo Jung-hyun,
Hayes Barnard,Hayes Barnard,University of Missouri ( BA )
Emad Al Muhaidib,Emad Al Muhaidib,
Glenn Dubin,Glenn Dubin,Stony Brook University (B.A.) [ 1 ]
Song Zuowen,Song Zuowen,
Mao Geping & family,Mao Geping,
Sergei Gordeev,Sergei Gordeev,Togliatti Academy of Management [ 2 ]
Solina Chau,Solina Chau,University of New South Wales
Jorge Mas,Jorge Mas,University of Miami ( BBA and MBA )
Zhu Xingming,Zhu Xingming,
Anand Deshpande,Anand Deshpande,
Eduardo Hochschild,Eduardo Hochschild,Tufts University
Lindsay Fox,Lindsay Fox,Melbourne High School
Jed McCaleb,Jed McCaleb,"University of California, Berkeley"
Doug Ostrover,Doug Ostrover,
Wu Kai,Wu Kai,
Mortimer Zuckerman,Mortimer Zuckerman,"McGill University ( BA , BCL ) University of Pennsylvania ( MBA ) Harvard University ( LLM )"
Jin Baofang,Jin Baofang,
Farhad Moshiri,Farhad Moshiri,University College London
Sylvan Adams,Sylvan Adams,
David Booth,David Booth,
Ipek Kirac,Ipek Kirac,
Feng Hailiang,Feng Hailiang,
Georg von Opel,Georg von Opel,University of Rhode Island American InterContinental University
Chen Hua & family,Chen Hua,
Philip Niarchos,Philip Niarchos,Collège Stanislas de Paris
Gustavo Denegri & family,Gustavo Denegri,University of Turin
Jamie Dimon,Jamie Dimon,Tufts University ( BA ) Harvard University ( MBA )
Ed Craven,Ed Craven,
Richard Branson,Richard Branson,
Carsten Koerl,Carsten Koerl,
Brannin McBee,Brannin McBee,
Martin Viessmann,Martin Viessmann,University of Erlangen
Mitchell Goldhar,Mitchell Goldhar,
Miriam Baumann-Blocher,Miriam Baumann-Blocher,University of Zurich ( Licentiate ) University of Zurich ( JD )
Parker Conrad,Parker Conrad,Harvard University
Edward Bass,Edward Bass,Harvard University
William Boyd & family,William Boyd,
Ranjan Pai,Ranjan Pai,"Medical graduate from Kasturba Medical College, Manipal and Fellowship in Hospital Administration in the United States"
Anu Aga,Anu Aga,"St. Xavier's College, Mumbai Tata Institute of Social Sciences"
Willis Johnson,Willis Johnson,
Rufino Vigil Gonzalez,Rufino Vigil Gonzalez,
Barry Sternlicht,Barry Sternlicht,Brown University (BS) Harvard University (MBA)
Jitendra Virwani,Jitendra Virwani,
Balkrishan Goenka,Balkrishan Goenka,
Zhao Fenggang,Zhao Fenggang,
Robert Sands,Robert Sands,
Joseph Bae,Joseph Bae,Harvard University ( AB )
John Elkann,John Elkann,Polytechnic University of Turin
Ted Turner,Ted Turner,Brown University
Stephen Deckoff,Stephen Deckoff,
Larry Tanenbaum,Larry Tanenbaum,Cornell University ( BS )
Brett Hildebrand,Brett Hildebrand,
Kristo Käärmann,Kristo Käärmann,
Fernando De Leon,Fernando De Leon,
Ramesh Kunhikannan,Ramesh Kunhikannan,
Bijan Tehrani,Bijan Tehrani,
Pier Silvio Berlusconi,Pier Silvio Berlusconi,
Marina Berlusconi,Marina Berlusconi,
Anatoly Sedykh,Anatoly Sedykh,
P.V. Ramprasad Reddy,P.V. Ramprasad Reddy,
Christian Latouche & family,Christian Latouche,ESCP Business School
Tran Dinh Long,Tran Dinh Long,
Bernard Saul II & family,Bernard Saul II,Villanova University University of Virginia
Yang Weidong & family,Yang Weidong,Hohai University
Wu Guanjiang & family,Wu Guanjiang,
Felix Baker,Felix Baker,
Julian Baker,Julian Baker,
Serge Godin,Serge Godin,
Mehmet Sinan & Family Tara,Mehmet Sinan & Family Tara,
Rafique Malik,Rafique Malik,
Semahat Sevim Arsel,Semahat Sevim Arsel,American College for Girls
Wilhelm Beier & family,Wilhelm Beier,
William Foley II,William Foley II,
John Tyson & family,John Tyson,
Akio Nitori,Akio Nitori,
Chen Jiancheng,Chen Jiancheng,
T.Y. Tsai,T.Y. Tsai,
Geoffrey Kwok,Geoffrey Kwok,Yale University Stanford University
Jonathan Kwok,Jonathan Kwok,Imperial College London
Kwon Hyuk-bin,Kwon Hyuk-bin,Sogang University ( BEng. )
Daniel Mate,Daniel Mate,University of Deusto
Sulaiman Al Muhaidib,Sulaiman Al Muhaidib,
Essam Al Muhaidib,Essam Al Muhaidib,
Vivek Chand Burman,Vivek Chand Burman,
Ali Ghodsi,Ali Ghodsi,KTH Royal Institute of Technology (Ph.D.)
Liora Ofer,Liora Ofer,
Chen Kaixuan,Chen Kaixuan,
V. Prem Watsa,V. Prem Watsa,
Cao Longxiang & family,Cao Longxiang,
Bidzina Ivanishvili & family,Bidzina Ivanishvili,Tbilisi State University Moscow State University of Railway Engineering
Paul Gauselmann & family,Paul Gauselmann,
John Pritzker,John Pritzker,Menlo College ( BA ) University of Denver
Zygmunt Solorz,Zygmunt Solorz,
Kei Hoi Pang,Kei Hoi Pang,
Jeff Sutton,Jeff Sutton,
Stein Erik Hagen,Stein Erik Hagen,BI Norwegian Business School
Peter Sondakh,Peter Sondakh,
Lottie Tham & family,Lottie Tham,
Pavel Baudis,Pavel Baudis,
Deng Wen,Deng Wen,
Marcelo Claure,Marcelo Claure,Bentley University ( BS )
Anurang Jain,Anurang Jain,Bombay University International Institute for Management Development
Du Jinhao,Du Jinhao,
Zhou Hongyi,Zhou Hongyi,Xi'an Jiaotong University
Michael Hintze,Michael Hintze,University of Sydney University of New South Wales Harvard Business School
Lee Bass,Lee Bass,Yale University ( BA ) Wharton School of the University of Pennsylvania ( MBA )
Anthony Langley,Anthony Langley,
Adam Kwok,Adam Kwok,
Ryan Horton,Ryan Horton,
Timm Oberwelland,Timm Oberwelland,
Richard LeFrak & family,Richard LeFrak,Amherst College ( BA ) Columbia University ( JD )
Devi Shetty,Devi Shetty,"Kasturba Medical College, Mangalore ( MBBS , MS ) Royal college of Surgeons ( FRCS )"
Reagan Horton,Reagan Horton,
Zhang Wanzhen,Zhang Wanzhen,
Ryan Smith,Ryan Smith,
Jorge Perez,Jorge Perez,
Pierre van der Mersch & family,Pierre van der Mersch,
Christian Birkenstock,Christian Birkenstock,
Jean-Pierre Cayard & family,Jean-Pierre Cayard,
Hans-Werner Hector,Hans-Werner Hector,
Ferit Faik Sahenk,Ferit Faik Sahenk,
Zhang Fan,Zhang Fan,
Ho Hung Anh,Ho Hung Anh,
Lee Yeow Seng,Lee Yeow Seng,
Qi Jinxing,Qi Jinxing,
Wayne Rothbaum,Wayne Rothbaum,
Henry Swieca,Henry Swieca,Stony Brook University ( B.A. ) Columbia Business School ( M.B.A )
Bertil Hult,Bertil Hult,
Chao Teng-hsiung,Chao Teng-hsiung,
Gerald Ford,Gerald Ford,University of Michigan ( BA ) Yale University ( LLB )
Dong Jinggui,Dong Jinggui,
Lam Kong,Lam Kong,
Kalanithi Maran,Kalanithi Maran,"Loyola College, Chennai University of Scranton"
Gu Yuhua & family,Gu Yuhua,
Edwin Leong,Edwin Leong,University of British Columbia (BSc) University of Toronto (MSc) [ 2 ]
Daniel Rocher,Daniel Rocher,
Bris Rocher,Bris Rocher,
Lirio Parisotto,Lirio Parisotto,
Henry Laufer,Henry Laufer,Princeton University ( PhD )
Bernard Fraisse & family,Bernard Fraisse,
Alexander Ramlie,Alexander Ramlie,
Alexander Frolov,Alexander Frolov,
Daniel Sundheim,Daniel Sundheim,
Shlomo Eliahu,Shlomo Eliahu,
William Young,William Young,
Dwight Schar,Dwight Schar,Ashland University
Andreas Pohl,Andreas Pohl,
Peter Beck,Peter Beck,
Prem Kumar Arora,Prem Kumar Arora,
Liang Xinjun,Liang Xinjun,
Alessandra Garavoglia,Alessandra Garavoglia,
Sergey Dmitriev,Sergey Dmitriev,
Masateru Uno & family,Masateru Uno,
M.Satyanarayana Reddy,M.Satyanarayana Reddy,
Sathien Sathientham,Sathien Sathientham,
Kathy Britton,Kathy Britton,
Michiel Le Roux,Michiel Le Roux,Stellenbosch University
Li Jianquan & family,Li Jianquan,
