forbes_name,clean_name,education
Takemitsu Takizaki,Takemitsu Takizaki,Amagasaki Industry High School
Vinod Adani,Vinod Adani,
Eric Li,Eric Li,St. Paul's Co-educational College Warwick School University of Manchester
Zhang Zhidong,Zhang Zhidong,
David Cheriton,David Cheriton,"University of British Columbia ( BS ) University of Waterloo ( MS , PhD )"
Eric Smidt,Eric Smidt,
Andrey Melnichenko & family,Andrey Melnichenko,
John Fredriksen,John Fredriksen,
Adam Foroughi,Adam Foroughi,"University of California, Berkeley ( BA )"
Lin Bin,Lin Bin,Sun Yat-sen University (BEng) Drexel University
James Ratcliffe,James Ratcliffe,"University of Birmingham ( BSc , MSc ) London Business School (MBA)"
Todd Graves,Todd Graves,
Pavel Durov,Pavel Durov,Saint Petersburg State University ( BA )
Stephen Ross,Stephen Ross,
Dhanin Chearavanont,Dhanin Chearavanont,
Jan Koum,Jan Koum,San Jose State University
Beate Heister,Beate Heister,
Karl Albrecht Jr. & family,Karl Albrecht Jr.,
Theo Albrecht Jr & family,Theo Albrecht Jr,
Alisher Usmanov,Alisher Usmanov,Moscow Institute of International Relations
Sherry Brydson,Sherry Brydson,
George Roberts,George Roberts,
Jorge Paulo Lemann & family,Jorge Paulo Lemann,Harvard University ( BA )
Ludwig Merckle,Ludwig Merckle,
Suleiman Kerimov & family,Suleiman Kerimov,Dagestan State University
Andrew Forrest & family,Andrew Forrest,University of Western Australia
Wang Wei,Wang Wei,
Arthur Dantchik,Arthur Dantchik,Binghamton University Arizona State University
Kushal Pal Singh,Kushal Pal Singh,Meerut College
Yu Yong,Yu Yong,
Harold Hamm & family,Harold Hamm,
John Doerr,John Doerr,"Rice University ( BS , MEng ) Harvard University ( MBA )"
Prince Alwaleed Bin Talal Alsaud,Prince Alwaleed Bin Talal Alsaud,Menlo College Syracuse University
Brad Jacobs,Brad Jacobs,
Nancy Walton Laurie,Nancy Walton Laurie,University of Memphis [ 2 ]
Jay Chaudhry,Jay Chaudhry,IIT (BHU) Varanasi University of Cincinnati
Donald Newhouse,Donald Newhouse,Syracuse University
Ray Dalio,Ray Dalio,"Long Island University, Post ( BS ) Harvard University ( MBA )"
Henry Kravis,Henry Kravis,Claremont McKenna College ( BA ) Columbia University ( MBA )
Robert Duggan,Robert Duggan,
Lin Muqin & family,Lin Muqin,
James Goodnight,James Goodnight,North Carolina State University (PhD)
James Dyson,James Dyson,Byam Shaw School of Art Royal College of Art
Zhu Yi,Zhu Yi,
Hasso Plattner & family,Hasso Plattner,University of Karlsruhe
Mikhail Fridman,Mikhail Fridman,Moscow Institute of Steel and Alloys
Dang Yanbao,Dang Yanbao,"Ningxia School of Finance, Peking University"
Torstein Hagen,Torstein Hagen,Norwegian Institute of Technology Harvard University
Qi Shi & family,Qi Shi,Shanghai Jiaotong University Fudan University
Martin Lorentzon,Martin Lorentzon,Chalmers University of Technology
David Velez & family,David Velez,
Kwong Siu-hing,Kwong Siu-hing,
Alexander Karp,Alexander Karp,Haverford College ( BA ) Stanford University ( JD ) Goethe University ( PhD )
George Kaiser,George Kaiser,"Harvard University ( BA , MBA )"
Shahid Khan,Shahid Khan,University of Illinois at Urbana–Champaign ( BS )
Sun Piaoyang,Sun Piaoyang,"China Pharmaceutical University , Nanjing University"
Edward Johnson IV,Edward Johnson IV,
Otto Toto Sugiri,Otto Toto Sugiri,
Jack Dangermond,Jack Dangermond,"California State Polytechnic University, Pomona (BS) University of Minnesota (MUP) Harvard University (PhD)"
Friedhelm Loh,Friedhelm Loh,
Zhou Qunfei,Zhou Qunfei,
Antony Ressler,Antony Ressler,Georgetown University ( BSFS ) Columbia University ( MBA )
Robert Kraft,Robert Kraft,Columbia University ( BA ) Harvard University ( MBA )
Michal Solowow,Michal Solowow,Kielce University of Technology
Ravi Jaipuria,Ravi Jaipuria,
Charlene de Carvalho-Heineken & family,Charlene de Carvalho-Heineken,Leiden University
Uday Kotak,Uday Kotak,University of Mumbai
John Tu,John Tu,Technical University of Darmstadt
David Sun,David Sun,
Peter Woo,Peter Woo,University of Cincinnati Columbia Business School
Bubba Cathy,Bubba Cathy,Samford University ( BS )
Dan Cathy,Dan Cathy,Georgia Southern University ( BBA )
Trudy Cathy White,Trudy Cathy White,
Joseph Lau,Joseph Lau,"University of Windsor , Canada [ 4 ]"
Johann Rupert & family,Johann Rupert,Stellenbosch University
Sunil Mittal,Sunil Mittal,Punjab University
Antonia Ax:son Johnson & family,Antonia Ax:son Johnson,
Anders Holch Povlsen,Anders Holch Povlsen,Anglia Ruskin University
Li Xiting,Li Xiting,University of Science and Technology of China ( BA )
Simon Reuben,Simon Reuben,
David Reuben,David Reuben,
Ken Fisher,Ken Fisher,"California State Polytechnic University, Humboldt"
Charles Schwab,Charles Schwab,
Pham Nhat Vuong,Pham Nhat Vuong,Hanoi University of Mining and Geology [ 1 ] Moscow Geological Prospecting Institute [ 2 ]
Ralph Lauren & Family,Ralph Lauren,Baruch College (dropped out)
Alejandro Baillères Gual & family,Alejandro Baillères Gual,
Xavier Niel & family,Xavier Niel,
Terry Gou,Terry Gou,Taipei University of Marine Technology ( BS )
Leon Black,Leon Black,Dartmouth College Harvard Business School
David Duffield,David Duffield,"Cornell University ( AB , MBA )"
Orlando Bravo,Orlando Bravo,Brown University Stanford Law School Stanford Graduate School of Business
Wei Jianjun & family,Wei Jianjun,
Ann Walton Kroenke,Ann Walton Kroenke,Lincoln University
Kenneth Dart,Kenneth Dart,University of Michigan Cranbrook Kingswood School
Michael Sabel,Michael Sabel,
Robert Pender,Robert Pender,
Brian Armstrong,Brian Armstrong,
Georg Schaeffler,Georg Schaeffler,University of St. Gallen Duke University
Laurene Powell Jobs,Laurene Powell Jobs,"University of Pennsylvania ( BA , BS ) Stanford University ( MBA )"
Robert Kuok,Robert Kuok,Raffles Institution
David Steward,David Steward,Central Missouri State University
Barry Lam,Barry Lam,"National Taiwan University ( BS , MS )"
Elizabeth Johnson,Elizabeth Johnson,
Wang Liping & family,Wang Liping,
Enrique Razon Jr.,Enrique Razon Jr.,
Giorgio Armani,Giorgio Armani,University of Milan
Tobi Lutke,Tobi Lutke,
J. Christopher Reyes,J. Christopher Reyes,University of Maryland
Jude Reyes,Jude Reyes,Wofford College
Joseph Tsai,Joseph Tsai,"Yale University ( BA , JD )"
Andrew Beal,Andrew Beal,
Dustin Moskovitz,Dustin Moskovitz,Harvard University (dropped out)
Carl Cook,Carl Cook,Purdue University University of Iowa
Georg Stumpf,Georg Stumpf,
Jim Pattison,Jim Pattison,Sauder School of Business (dropped out)
Mike Cannon-Brookes,Mike Cannon-Brookes,University of New South Wales
Ernesto Bertarelli,Ernesto Bertarelli,Babson College Harvard Business School
Azim Premji,Azim Premji,Stanford University ( B.S.E ) [ 2 ]
Jay Y. Lee,Jay Y. Lee,Seoul National University ( BA ) Keio University ( MBA ) Harvard University ( DBA )
