rank,id,name,source,country,gender,age,image,current_worth,previous_worth
766,hu-kaijun,Hu Kaijun,Pharmaceuticals,China,M,63,https://st3.depositphotos.com/6672868/13701/v/450/depositphotos_137014128-stock-illustration-user-profile-icon.jpg,5.2,5.2
767,rudolf-maag,Rudolf Maag,Medical devices,Switzerland,M,79,https://st3.depositphotos.com/6672868/13701/v/450/depositphotos_137014128-stock-illustration-user-profile-icon.jpg,5.2,5.2
768,kwek-leng-beng,Kwek Leng Beng,Diversified,Singapore,M,84,https://specials-images.forbesimg.com/imageserve/68b7311fe3ee124b7051ca4a/416x416.jpg?background=000000&cropX1=603&cropX2=1561&cropY1=135&cropY2=1092,5.2,5.2
769,christiane-schoeller,Christiane Schoeller,Publishing,Germany,F,57,https://specials-images.forbesimg.com/imageserve/5c6dbdc531358e35dd26a61d/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,5.2,5.2
770,ruan-xueping,Ruan Xueping,Power strip,Hong Kong,M,53,https://specials-images.forbesimg.com/imageserve/6725059b6ee6acdbddb85f6d/416x416.jpg?background=000000&cropX1=2&cropX2=800&cropY1=0&cropY2=798,5.2,5.2
771,ruan-liping,Ruan Liping,Power strips,Hong Kong,M,60,https://specials-images.forbesimg.com/imageserve/654a5403d2b82a2d2ec91c50/416x416.jpg?background=000000&cropX1=1259&cropX2=4717&cropY1=0&cropY2=3456,5.2,5.2
772,emanuele-lino-saputo,Emanuele (Lino) Saputo & family,Cheese,Canada,M,88,https://specials-images.forbesimg.com/imageserve/5e74437e2a573300068fcd76/416x416.jpg?background=000000&cropX1=0&cropX2=1092&cropY1=284&cropY2=1376,5.2,5.3
773,joesley-batista,Joesley Batista,Beef processing,Brazil,M,53,https://specials-images.forbesimg.com/imageserve/5e74298e07adf00006db9ec0/416x416.jpg?background=000000&cropX1=913&cropX2=4756&cropY1=0&cropY2=3840,5.2,5.2
773,wesley-batista,Wesley Batista,Beef packing,Brazil,M,52,https://specials-images.forbesimg.com/imageserve/5e743b6610380d0006bdaccf/416x416.jpg?background=000000&cropX1=417&cropX2=3079&cropY1=6&cropY2=2667,5.2,5.2
775,lutz-mario-helmig,Lutz Mario Helmig & family,Hospitals,Germany,M,79,https://specials-images.forbesimg.com/imageserve/5e762fb5c7b02d000666c8d1/416x416.jpg?background=000000&cropX1=1673&cropX2=3786&cropY1=343&cropY2=2456,5.1,5.1
776,jean-gigi-pritzker,Jean (Gigi) Pritzker,"Hotels, investments",United States,F,63,https://specials-images.forbesimg.com/imageserve/5d8af60418444200084e7355/416x416.jpg?background=000000&cropX1=274&cropX2=1713&cropY1=69&cropY2=1509,5.1,5.1
777,arturo-moreno,Arturo Moreno,"Billboards, Los Angeles Angels",United States,M,79,https://specials-images.forbesimg.com/imageserve/59dd8c2731358e542c0394c7/416x416.jpg?background=000000&cropX1=212&cropX2=2610&cropY1=179&cropY2=2579,5.1,5.1
778,tom-morris,Tom Morris,Retail,United Kingdom,M,70,https://st3.depositphotos.com/6672868/13701/v/450/depositphotos_137014128-stock-illustration-user-profile-icon.jpg,5.1,5.1
779,fernand-huts,Fernand Huts,"Logistics, transportation",Belgium,M,75,https://specials-images.forbesimg.com/imageserve/66182fd5bdb6d7f87f66c8fe/416x416.jpg?background=000000&cropX1=426&cropX2=1431&cropY1=207&cropY2=1212,5.1,5.1
780,peter-kellogg,Peter Kellogg,Investments,United States,M,83,https://st3.depositphotos.com/6672868/13701/v/450/depositphotos_137014128-stock-illustration-user-profile-icon.jpg,5.1,5.1
781,evangelos-marinakis,Evangelos Marinakis & family,"Shipping, soccer",Greece,M,58,https://st3.depositphotos.com/6672868/13701/v/450/depositphotos_137014128-stock-illustration-user-profile-icon.jpg,5.1,5.1
782,tim-sweeney,Tim Sweeney,Video games,United States,M,54,https://specials-images.forbesimg.com/imageserve/5f4d56fc32cd442c9badd820/416x416.jpg?background=000000&cropX1=0&cropX2=4004&cropY1=0&cropY2=4003,5.1,5.1
783,morris-chang,Morris Chang,Semiconductors,Taiwan,M,94,https://specials-images.forbesimg.com/imageserve/683dc047fe62b9a6de1ae2ed/416x416.jpg?background=000000&cropX1=722&cropX2=1386&cropY1=175&cropY2=840,5.1,5.1
784,mark-leonard,Mark Leonard & family,Software,Canada,M,69,https://st3.depositphotos.com/6672868/13701/v/450/depositphotos_137014128-stock-illustration-user-profile-icon.jpg,5.1,5.0
785,bruce-cheng,Bruce Cheng,Electronics,Taiwan,M,88,https://specials-images.forbesimg.com/imageserve/5e1e4ee9735f8c000799df1d/416x416.jpg?background=000000&cropX1=510&cropX2=1775&cropY1=299&cropY2=1564,5.1,5.2
